模型,精确率,召回率,F1分数,AUC-ROC
LightGBM,0.5689235265465173,0.07317837228243844,0.12967691795270345,0.719042833837005
XGBoost,0.5753949258018191,0.07530856462627655,0.13318559556786705,0.7189082795496192
RandomForest,0.5731995277449823,0.06083578723137648,0.10999716794109317,0.7140135462628985
Voting,0.5753715498938429,0.06791554413883842,0.12149061361725974,0.7186003024973977
Stacking,0.3405905993360126,0.6106133700895934,0.437275664034458,0.7191418861579066
